Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YMR120C,P38009,ADE17,Bifunctional purine biosynthesis protein ADE17,139171,6569,0.05,180553,467713,85298,82795,54231,3848,145739,153298,1.05,279878,288892,69962,108836,17480,30566,132602,111258,0.84
YMR121C,P54780,RPL15B,60S ribosomal protein L15-B,1707,1146,0.67,NA,1006,NA,NA,NA,117,561,445,0.79,NA,735,NA,4972,NA,NA,2854,2119,0.74
YMR124W,P39523,YMR124W,Uncharacterized protein YMR124W,1602,362,0.23,1806,2503,651,573,1542,370,1241,770,0.62,2957,2425,1044,2258,845,2253,1964,760,0.39
YMR125W,P34160,STO1,Nuclear cap-binding protein complex subunit 1,2142,174,0.08,2776,6878,530,517,881,NA,2316,2429,1.05,2161,2574,145,4771,NA,186,1968,1718,0.87
YMR128W,Q04217,ECM16,Probable ATP-dependent RNA helicase DHR1,1395,48,0.03,1517,4785,437,290,1526,104,1443,1598,1.11,1547,2917,232,1884,1271,230,1347,939,0.7
YMR129W,P39685,POM152,Nucleoporin POM152,1776,492,0.28,4408,4109,105,183,2533,NA,2268,1847,0.81,1094,1761,81,2113,NA,1368,1284,693,0.54
YMR130W,Q04223,YMR130W,Uncharacterized protein YMR130W,713,106,0.15,NA,2131,80,246,NA,NA,819,930,1.14,NA,925,NA,NA,NA,289,607,318,0.52
YMR131C,Q04225,RRB1,Ribosome assembly protein RRB1,48784,474,0.01,62537,111911,32396,15888,60022,7109,48310,35087,0.73,42474,56687,43271,36473,76299,40346,49258,13608,0.28
YMR134W,P40207,YMR134W,Uncharacterized protein YMR134W,1184,731,0.62,757,822,196,NA,NA,37,453,342,0.75,NA,509,NA,3320,NA,NA,1915,1406,0.73
YMR135C,P40208,GID8,Glucose-induced degradation protein 8,603,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,603,NA,NA,NA,NA,NA,603,0,0
YMR139W,P38615,RIM11,Serine/threonine-protein kinase RIM11/MSD1,6293,246,0.04,8619,16223,2070,6197,5684,440,6539,5101,0.78,5686,6736,9029,6912,3987,3929,6046,1778,0.29
YMR140W,P40210,SIP5,Protein SIP5,686,14,0.02,1686,1121,115,228,348,NA,700,606,0.87,1202,NA,213,891,NA,384,672,395,0.59
YMR142C,P40212,RPL13B,60S ribosomal protein L13-B,504507,28214,0.06,385790,751034,271815,615800,739134,94182,476293,244963,0.51,576095,483555,501152,324304,867165,444055,532721,167555,0.31
YMR144W,P40214,YMR144W,Uncharacterized protein YMR144W,270,198,0.73,NA,NA,NA,94,NA,50,72,22,0.3,231,NA,122,NA,NA,1051,468,415,0.89
YMR145C,P40215,NDE1,"External NADH-ubiquinone oxidoreductase 1, mitochondrial",23133,8696,0.38,51056,110087,8944,4706,15583,597,31829,38714,1.22,14243,32940,4249,33206,995,989,14437,13905,0.96
YMR146C,P40217,TIF34,Eukaryotic translation initiation factor 3 subunit I,114181,8843,0.08,103962,273983,41078,76064,116341,20604,105339,82392,0.78,114697,127492,69400,112723,94666,219164,123024,46758,0.38
YMR147W,P40218,YMR147W,Uncharacterized protein YMR147W,2153,82,0.04,NA,2071,NA,NA,NA,NA,2071,0,0,1634,4198,1104,2006,NA,NA,2235,1177,0.53
YMR149W,Q02795,SWP1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1,18371,2794,0.15,28151,84814,1862,2063,9528,569,21165,29992,1.42,17759,46461,9290,10933,5220,3800,15577,14524,0.93
YMR152W,P28625,YIM1,Protein YIM1,3536,193,0.05,5879,12623,557,794,138,70,3344,4615,1.38,3679,3549,NA,3959,NA,NA,3729,171,0.05
YMR153W,Q03790,NUP53,Nucleoporin NUP53,3893,252,0.06,3908,9581,1379,2653,3462,863,3641,2863,0.79,6153,11076,1746,2642,1413,1843,4145,3484,0.84
YMR157C,Q03798,AIM36,"Altered inheritance of mitochondria protein 36, mitochondrial",1084,308,0.28,1182,NA,678,NA,469,NA,776,299,0.39,1395,1846,NA,933,NA,NA,1391,373,0.27
YMR158W,Q03799,MRPS8,"37S ribosomal protein S8, mitochondrial",1336,706,0.53,NA,1374,NA,486,NA,31,630,558,0.88,2578,2103,566,2920,NA,NA,2042,900,0.44
YMR159C,Q03818,ATG16,Autophagy protein 16,1208,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208,1208,0,0
YMR161W,P48353,HLJ1,Protein HLJ1,4415,607,0.14,1119,8885,2088,3611,5590,1553,3807,2716,0.71,5432,11422,3224,3816,1217,NA,5022,3472,0.69
YMR165C,P32567,PAH1,Phosphatidic acid phosphohydrolase 1,927,216,0.23,487,1665,651,143,1253,65,711,577,0.81,986,1785,498,1523,NA,926,1144,457,0.4
YMR167W,P38920,MLH1,DNA mismatch repair protein MLH1,394,95,0.24,NA,419,NA,NA,178,NA,299,121,0.4,241,1034,NA,192,NA,NA,489,386,0.79
YMR169C,P54114,ALD3,Aldehyde dehydrogenase [NAD(P)+] 2,18674,4238,0.23,34321,76805,9842,10008,6392,101,22912,26348,1.15,26026,27541,14234,17805,593,420,14436,10844,0.75
YMR170C,P47771,ALD2,Aldehyde dehydrogenase [NAD(P)+] 1,2292,653,0.28,2312,7740,777,948,NA,NA,2944,2832,0.96,2056,2708,NA,NA,NA,153,1639,1084,0.66
YMR172W,Q03213,HOT1,High-osmolarity-induced transcription protein 1,131,1,0.01,NA,NA,125,198,164,39,132,59,0.45,NA,NA,206,152,NA,31,130,73,0.57
YMR173W,P18899,DDR48,Stress protein DDR48,38118,4196,0.11,52777,103733,20587,9411,16608,414,33922,35191,1.04,99675,60869,20687,43532,21330,7795,42315,30918,0.73
YMR174C,P01094,PAI3,Protease A inhibitor 3,10090,2808,0.28,13813,7742,3615,6819,4423,NA,7282,3597,0.49,3858,30476,24031,13531,1433,4057,12898,10990,0.85
YMR178W,Q03219,YMR178W,Uncharacterized protein YMR178W,4796,1432,0.3,4288,5254,2018,1694,5871,1059,3364,1854,0.55,10432,9749,1689,7655,1863,5974,6227,3460,0.56
YMR183C,P39926,SSO2,Protein SSO2,29046,3081,0.11,27042,61071,17849,27997,21427,405,25965,18154,0.7,29812,49189,28354,41189,22795,21425,32127,9954,0.31
YMR184W,Q03233,ADD37,Alpha1-proteinase inhibitor-degradation deficient protein 37,904,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,936,NA,1405,904,422,0.47
YMR186W,P15108,HSC82,ATP-dependent molecular chaperone HSC82,1253223,38627,0.03,1277550,1937310,784326,1257220,2100750,393939,1291849,596681,0.46,1424360,1426490,802425,1228340,1217240,1188720,1214596,208027,0.17
YMR188C,Q03246,MRPS17,"37S ribosomal protein S17, mitochondrial",1416,299,0.21,NA,NA,1534,360,1209,1364,1117,452,0.4,4605,650,255,NA,217,2852,1716,1741,1.01
YMR189W,P49095,GCV2,"Glycine dehydrogenase (decarboxylating), mitochondrial",4707,821,0.17,9706,14517,1863,3408,3310,362,5528,4963,0.9,5848,5239,3023,7615,971,616,3885,2567,0.66
YMR192W,Q04322,GYL1,Probable GTPase-activating protein GYL1,1223,1033,0.84,NA,NA,NA,172,209,NA,191,19,0.1,757,46,363,9667,NA,447,2256,3712,1.65
YMR193W,P36525,MRPL24,"54S ribosomal protein L24, mitochondrial",1612,219,0.14,1539,3446,877,1572,855,70,1393,1047,0.75,2621,2147,1084,2611,NA,696,1832,797,0.44
YMR194W,P05745,RPL36A,60S ribosomal protein L36-A,31395,3192,0.1,26016,18806,13709,46644,62783,1260,28203,20676,0.73,70032,47805,6970,62795,10671,9243,34586,26469,0.77
YMR196W,Q04336,YMR196W,Uncharacterized protein YMR196W,5037,898,0.18,4918,16739,1168,914,NA,NA,5935,6436,1.08,8421,7008,322,804,NA,NA,4138,3615,0.87
YMR197C,Q04338,VTI1,t-SNARE VTI1,103647,53802,0.52,591678,337919,3985,4913,5580,620,157449,229348,1.46,7792,245497,19744,8904,12441,4688,49845,87625,1.76
YMR202W,P32352,ERG2,C-8 sterol isomerase,7076,3690,0.52,3457,5574,NA,1126,NA,NA,3386,1816,0.54,NA,3982,NA,17551,NA,NA,10766,6784,0.63
YMR203W,P23644,TOM40,Mitochondrial import receptor subunit TOM40,45124,3353,0.07,46647,78265,54965,53937,42963,14082,48476,19044,0.39,69774,53055,34626,42779,10712,39681,41771,17947,0.43
YMR205C,P16862,PFK2,ATP-dependent 6-phosphofructokinase subunit beta,89966,1670,0.02,115887,247333,38874,70498,70381,6845,91636,77138,0.84,139807,119135,66993,135941,32801,35102,88296,45162,0.51
YMR208W,P07277,ERG12,Mevalonate kinase,2210,273,0.12,1675,9506,52,2262,1160,242,2483,3233,1.3,1270,4054,2811,1990,853,640,1936,1194,0.62
YMR209C,Q03648,YMR209C,Uncharacterized protein YMR209C,718,0,0,811,626,NA,NA,NA,NA,718,92,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
YMR212C,Q03653,EFR3,Protein EFR3,1346,134,0.1,205,4085,644,444,1618,275,1212,1368,1.13,1463,2842,571,2214,NA,308,1480,959,0.65
YMR213W,Q03654,CEF1,Pre-mRNA-splicing factor CEF1,168,53,0.31,NA,NA,NA,NA,195,36,115,79,0.69,481,112,NA,71,NA,NA,221,184,0.83
YMR214W,P25303,SCJ1,DnaJ-related protein SCJ1,10259,1574,0.15,5737,19314,3191,9616,10615,3642,8686,5506,0.63,13632,7978,7932,11558,17877,12022,11833,3414,0.29
YMR215W,Q03655,GAS3,"Probable 1,3-beta-glucanosyltransferase GAS3",17363,547,0.03,28625,37505,4613,9882,18210,2063,16816,12807,0.76,15807,27021,14378,21378,17329,11546,17910,5046,0.28
YMR216C,Q03656,SKY1,Serine/threonine-protein kinase SKY1,771,139,0.18,1059,2241,33,NA,307,NA,910,855,0.94,1078,679,347,1202,139,351,633,393,0.62
YMR217W,P38625,GUA1,GMP synthase [glutamine-hydrolyzing],111845,4611,0.04,122233,250562,73918,108690,117066,26265,116456,68340,0.59,119152,164267,70990,186016,44993,57984,107234,53564,0.5
YMR219W,Q03661,ESC1,Silent chromatin protein ESC1,1922,55,0.03,2819,4900,1150,317,2491,188,1978,1641,0.83,2702,2663,981,1459,1066,2329,1867,723,0.39
YMR220W,P24521,ERG8,Phosphomevalonate kinase,2345,246,0.1,3641,5105,1361,347,1998,143,2099,1773,0.84,2965,4087,1081,4050,NA,772,2591,1421,0.55
YMR221C,Q04991,FMP42,Protein FMP42,340,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,390,NA,NA,340,49,0.15
YMR222C,Q05015,FSH2,Family of serine hydrolases 2,2394,59,0.02,4347,5714,812,1177,1827,135,2335,2009,0.86,4617,1634,1181,3460,1060,2768,2453,1292,0.53
YMR223W,P50102,UBP8,Ubiquitin carboxyl-terminal hydrolase 8,606,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,NA,NA,606,0,0
YMR225C,P19956,MRPL44,"54S ribosomal protein L44, mitochondrial",86,0,0,NA,NA,NA,NA,NA,86,86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YMR226C,Q05016,YMR226C,Uncharacterized oxidoreductase YMR226C,134156,152,0,124862,306877,83022,139813,130784,18668,134004,87478,0.65,160395,208430,121804,104222,93552,117444,134308,39119,0.29
YMR227C,Q05021,TAF7,Transcription initiation factor TFIID subunit 7,559,299,0.54,NA,545,NA,161,NA,74,260,205,0.79,565,NA,NA,755,NA,1256,858,291,0.34
YMR228W,P14908,MTF1,Mitochondrial transcription factor 1,1015,347,0.34,556,779,NA,NA,NA,NA,668,112,0.17,NA,283,3356,448,NA,NA,1362,1412,1.04
YMR229C,Q05022,RRP5,rRNA biogenesis protein RRP5,23567,3356,0.14,22057,70361,14129,24090,27811,3092,26923,21020,0.78,23491,36435,10315,34568,10101,6359,20212,12056,0.6
YOR293W;YMR230W,Q08745,RPS10A,40S ribosomal protein S10-A,1062280,47291,0.04,537885,1796570,559084,1643270,1887770,232847,1109571,678344,0.61,725413,1099910,839597,925787,1387430,1111800,1014990,215201,0.21
YMR231W,P12868,PEP5,E3 ubiquitin-protein ligase PEP5,215,41,0.19,211,301,NA,NA,NA,NA,256,45,0.17,NA,161,NA,188,NA,NA,174,14,0.08
YMR233W,Q05024,TRI1,Protein TRI1,763,5,0.01,NA,2033,164,345,1040,260,769,704,0.92,184,1596,556,852,NA,602,758,470,0.62
YMR235C,P11745,RNA1,Ran GTPase-activating protein 1,45282,4905,0.11,46605,128177,19884,19327,25318,2949,40377,41308,1.02,63072,58432,39038,57671,30332,52579,50187,11650,0.23
YMR237W,Q05029,BCH1,Protein BCH1,811,463,0.57,449,694,96,NA,157,NA,349,240,0.69,509,1387,NA,1925,NA,NA,1274,584,0.46
YMR238W,Q05031,DFG5,"Mannan endo-1,6-alpha-mannosidase DFG5",563,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771,NA,355,563,208,0.37
YMR239C,Q02555,RNT1,Ribonuclease 3,1948,35,0.02,1947,3431,1194,718,4323,288,1983,1453,0.73,1696,2027,687,3240,NA,NA,1913,912,0.48
YMR240C,Q02554,CUS1,Cold sensitive U2 snRNA suppressor 1,353,18,0.05,NA,NA,NA,NA,335,NA,335,0,0,292,NA,NA,443,NA,380,371,62,0.17
YMR241W,Q04013,YHM2,Citrate/oxoglutarate carrier protein,10073,939,0.09,24067,28107,3239,3760,6331,569,11012,10852,0.99,5716,8938,2676,19209,NA,NA,9135,6224,0.68
YOR312C;YMR242C,P0CX24,RPL20B,60S ribosomal protein L20-B,509491,25491,0.05,376480,1202950,285017,516261,713853,115333,534982,351719,0.66,756779,429490,234808,621786,446571,414568,484000,165672,0.34
YMR244C-A,Q3E846,COA6,Cytochrome c oxidase assembly factor 6,5153,1027,0.2,5985,10244,3554,640,4088,243,4126,3377,0.82,10711,7883,1357,4768,NA,NA,6180,3489,0.56
YMR246W,P47912,FAA4,Long-chain-fatty-acid--CoA ligase 4,9114,31,0,8519,31448,3977,3935,5709,909,9083,10257,1.13,9920,12763,3617,18573,4448,5546,9145,5294,0.58
YMR247C,Q04781,RKR1,E3 ubiquitin-protein ligase listerin,111,84,0.75,109,514,NA,NA,89,67,195,185,0.95,NA,NA,NA,NA,NA,28,28,0,0
YMR250W,Q04792,GAD1,Glutamate decarboxylase,10235,3701,0.36,31685,43291,2331,4494,1791,22,13936,17037,1.22,9762,18183,4260,6359,522,118,6534,6173,0.94
YMR255W,Q04839,GFD1,mRNA transport factor GFD1,1452,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2245,1016,1968,580,1452,680,0.47
YMR259C,Q03496,TRM732,tRNA (cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732,270,173,0.64,NA,444,NA,NA,NA,NA,444,0,0,NA,42,NA,153,NA,NA,97,55,0.57
YMR260C,P38912,TIF11,Eukaryotic translation initiation factor 1A,200103,31117,0.16,380114,293226,59428,73756,173476,33916,168986,128677,0.76,243662,260574,179007,253212,407654,43210,231220,108553,0.47
YMR261C,P38426,TPS3,Trehalose synthase complex regulatory subunit TPS3,2647,249,0.09,5891,7535,901,592,2318,142,2897,2820,0.97,4790,4652,551,3441,698,255,2398,1949,0.81
YMR263W,P38429,SAP30,Transcriptional regulatory protein SAP30,1987,601,0.3,2070,3244,424,849,1422,310,1386,1024,0.74,6378,2016,573,2392,1940,2227,2588,1795,0.69
YMR264W,P38428,CUE1,Coupling of ubiquitin conjugation to ER degradation protein 1,1957,539,0.28,2385,2642,538,NA,NA,106,1418,1110,0.78,4427,1894,568,3112,NA,2479,2496,1280,0.51
YMR266W,Q03516,RSN1,Uncharacterized protein RSN1,1098,291,0.26,2259,2619,798,431,2104,124,1389,970,0.7,711,1702,99,1393,133,NA,808,649,0.8
YMR267W,P28239,PPA2,"Inorganic pyrophosphatase, mitochondrial",2010,733,0.36,285,543,1094,3279,2146,315,1277,1099,0.86,2696,1266,3186,3722,NA,2844,2743,818,0.3
YMR269W,Q03525,TMA23,Protein TMA23,8145,1476,0.18,8191,19308,4385,18075,6969,799,9621,6827,0.71,10135,7313,4828,7418,6934,3386,6669,2130,0.32
YMR272C,Q03529,SCS7,Ceramide very long chain fatty acid hydroxylase SCS7,4284,463,0.11,5838,14804,1512,3957,2334,35,4747,4855,1.02,3986,10397,748,6575,452,770,3821,3673,0.96
YMR273C,P50111,ZDS1,Protein ZDS1,485,163,0.34,NA,60,323,795,422,10,322,283,0.88,102,NA,1550,292,NA,NA,648,642,0.99
YMR276W,P48510,DSK2,Ubiquitin domain-containing protein DSK2,56824,11838,0.21,23722,143183,23053,42460,31396,6106,44986,45238,1.01,58111,85080,46594,28479,68171,125540,68662,30871,0.45
YMR277W,Q03254,FCP1,RNA polymerase II subunit A C-terminal domain phosphatase,736,103,0.14,1526,1124,557,148,NA,NA,839,527,0.63,1037,664,185,643,NA,NA,632,302,0.48
YMR278W,Q03262,PRM15,Phosphoribomutase,2004,255,0.13,1832,6927,626,890,1022,NA,2259,2368,1.05,2011,3067,52,1865,NA,NA,1748,1084,0.62
YMR285C,Q03264,NGL2,RNA exonuclease NGL2,1842,515,0.28,3821,3578,601,NA,1427,NA,2357,1377,0.58,677,1406,NA,1896,NA,NA,1326,501,0.38
YMR286W,P20084,MRPL33,"54S ribosomal protein L33, mitochondrial",5283,2243,0.42,4353,25945,591,5709,NA,1030,7526,9412,1.25,NA,4557,NA,1522,NA,NA,3040,1517,0.5
YMR288W,P49955,HSH155,U2 snRNP component HSH155,340,145,0.42,NA,NA,119,NA,272,NA,196,76,0.39,1258,363,88,231,NA,NA,485,457,0.94
YMR290C,Q03532,HAS1,ATP-dependent RNA helicase HAS1,20726,3150,0.15,37758,59982,10832,9804,23000,1885,23877,19786,0.83,18275,29069,9920,37637,6756,3800,17576,12251,0.7
YMR291W,Q03533,TDA1,Serine/threonine-protein kinase TDA1,376,67,0.18,NA,443,NA,NA,NA,NA,443,0,0,NA,NA,NA,309,NA,NA,309,0,0
YMR294W,P36224,JNM1,Nuclear migration protein JNM1,774,94,0.12,1511,2339,700,484,141,28,867,815,0.94,505,1626,558,251,NA,461,680,484,0.71
YMR295C,Q03559,YMR295C,Uncharacterized protein YMR295C,16013,2924,0.18,19739,18800,6613,174,31302,1906,13089,11123,0.85,24834,21715,17718,30803,15102,3446,18936,8558,0.45
YMR296C,P25045,LCB1,Serine palmitoyltransferase 1,4112,27,0.01,4748,15972,1314,617,1717,137,4084,5517,1.35,436,5084,NA,6896,NA,NA,4139,2721,0.66
YMR297W,P00729,PRC1,Carboxypeptidase Y,32758,5735,0.18,20120,85702,27789,17181,10458,886,27023,27525,1.02,52507,38008,44691,45640,8153,41961,38493,14252,0.37
YMR298W,Q03579,LIP1,Ceramide synthase subunit LIP1,3585,1386,0.39,NA,5087,376,1134,NA,NA,2199,2066,0.94,NA,3615,NA,6325,NA,NA,4970,1355,0.27
YMR300C,P04046,ADE4,Amidophosphoribosyltransferase,18591,2129,0.11,29485,62396,9541,10031,12462,406,20720,20550,0.99,34425,26763,8948,19542,5344,3751,16462,11401,0.69
YMR302C,P32843,YME2,Mitochondrial escape protein 2,1866,456,0.24,4076,6807,617,382,1951,99,2322,2413,1.04,2085,2001,272,1283,NA,NA,1410,727,0.52
YMR303C,P00331,ADH2,Alcohol dehydrogenase 2,1815,283,0.16,1232,3917,547,NA,433,NA,1532,1411,0.92,2182,3278,173,NA,2761,NA,2098,1178,0.56
YMR304W,P50101,UBP15,Ubiquitin carboxyl-terminal hydrolase 15,741,16,0.02,815,2882,333,429,72,11,757,986,1.3,836,1397,52,618,NA,NA,726,481,0.66
YMR305C,Q04951,SCW10,Probable family 17 glucosidase SCW10,5415,1267,0.23,6056,11222,3205,814,3444,146,4148,3701,0.89,9114,8013,6054,11268,4837,803,6681,3344,0.5
YMR307W,P22146,GAS1,"1,3-beta-glucanosyltransferase GAS1",147500,12505,0.08,276016,371419,58924,80463,158297,14909,160005,126329,0.79,139151,186628,104195,122155,139587,118256,134995,26134,0.19
YMR308C,P32337,PSE1,Importin subunit beta-3,2133,112,0.05,4560,6847,847,837,371,9,2245,2549,1.14,1216,3945,577,5635,497,259,2021,2038,1.01
YMR309C,P32497,NIP1,Eukaryotic translation initiation factor 3 subunit C,25072,3549,0.14,28423,84102,14044,18751,24305,2104,28622,26172,0.91,22742,38356,10637,31358,13610,12436,21523,10370,0.48
YMR311C,P41818,GLC8,Protein GLC8,23886,11086,0.46,7850,26048,10322,10775,9005,NA,12800,6703,0.52,47477,36893,12585,38842,20466,53571,34972,14333,0.41
YMR312W,Q04868,ELP6,Elongator complex protein 6,383,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,NA,NA,383,0,0
YMR314W,P40302,PRE5,Proteasome subunit alpha type-6,84296,3686,0.04,95420,189555,57337,86583,81472,17524,87982,52154,0.59,102275,123747,54624,92443,58067,52508,80611,27213,0.34
YMR315W,Q04869,YMR315W,Uncharacterized protein YMR315W,51447,1413,0.03,93848,103858,23016,34850,38070,6560,50034,36079,0.72,104293,76850,37060,51382,19935,27637,52859,29419,0.56
YMR318C,Q04894,ADH6,NADP-dependent alcohol dehydrogenase 6,32064,1959,0.06,12795,75884,20268,31992,35516,4173,30104,23085,0.77,62918,50295,12214,30031,11519,37161,34023,18742,0.55
YNL001W,P33309,DOM34,Protein DOM34,5573,1356,0.24,5630,24499,2193,4599,4380,269,6928,8053,1.16,5140,11097,2461,4869,567,1168,4217,3519,0.83
YNL002C,P40693,RLP7,Ribosome biogenesis protein RLP7,15415,1669,0.11,16633,56780,4383,7692,15995,1025,17084,18640,1.09,17027,22692,11711,11685,12601,6758,13746,4989,0.36
YNL004W,P38922,HRB1,Protein HRB1,5404,1747,0.32,2863,12005,2441,2322,2000,311,3657,3819,1.04,10056,8216,4865,6698,2963,10109,7151,2623,0.37
YNL005C,P12687,MRP7,"54S ribosomal protein L2, mitochondrial",3875,716,0.18,8020,6914,4748,2547,4725,593,4591,2495,0.54,3334,2897,5130,4236,NA,197,3159,1668,0.53
YNL007C,P25294,SIS1,Protein SIS1,196490,27793,0.14,146637,357792,88017,165236,208331,46173,168698,99455,0.59,260292,191114,206046,142518,320668,225060,224283,55835,0.25
YNL010W,P53981,YNL010W,Uncharacterized phosphatase YNL010W,153630,10334,0.07,160247,302389,94092,110676,169459,22909,143295,85888,0.6,189712,182911,133841,136134,125932,215255,163964,33618,0.21
YNL015W,P0CT04,PBI2,Protease B inhibitor 2,474828,79866,0.17,265060,1159030,318518,289096,318853,19209,394961,357003,0.9,1007130,895694,556720,424559,213437,230624,554694,305340,0.55
YNL016W,P32588,PUB1,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1,34357,5244,0.15,29828,77655,28549,41599,53882,6097,39602,22346,0.56,36851,43537,22155,20307,17020,34809,29113,9769,0.34
YNL021W,P53973,HDA1,Histone deacetylase HDA1,827,197,0.24,576,3272,134,NA,114,NA,1024,1311,1.28,116,464,NA,1310,NA,NA,630,501,0.8
YNL022C,P53972,RCM1,25S rRNA (cytosine(2278)-C(5))-methyltransferase,572,253,0.44,NA,502,NA,65,391,NA,319,186,0.58,377,592,NA,1504,NA,NA,824,489,0.59
YNL023C,P53971,FAP1,FKBP12-associated protein 1,4773,2350,0.49,NA,7124,NA,NA,NA,NA,7124,0,0,3401,6531,NA,138,1253,794,2423,2327,0.96
YNL026W,P53969,SAM50,Sorting assembly machinery 50 kDa subunit,1059,786,0.74,NA,1844,NA,NA,NA,NA,1844,0,0,NA,NA,NA,273,NA,NA,273,0,0
YNL027W,P53968,CRZ1,Transcriptional regulator CRZ1,1150,58,0.05,1007,2515,938,348,1611,131,1092,796,0.73,2404,1579,369,1424,NA,268,1209,800,0.66
YNL032W,P53965,SIW14,Tyrosine-protein phosphatase SIW14,2523,899,0.36,NA,5529,515,1528,378,174,1625,2007,1.24,6981,2621,1033,3573,NA,2902,3422,1965,0.57
YNL035C,P53962,YNL035C,Uncharacterized WD repeat-containing protein YNL035C,935,352,0.38,NA,662,NA,502,NA,NA,582,80,0.14,1129,275,611,2091,1802,1815,1287,670,0.52
YNL036W,P53615,NCE103,Carbonic anhydrase,157237,37805,0.24,119013,283314,82002,130825,88357,13078,119431,82326,0.69,263236,252736,212697,343126,68320,30136,195042,110659,0.57
YNL037C,P28834,IDH1,"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial",50760,678,0.01,66965,100900,40664,43977,48027,8093,51438,28136,0.55,99259,76748,28921,36231,31074,28258,50082,27709,0.55
YNL039W,P46678,BDP1,Transcription factor TFIIIB component B'',1289,122,0.1,941,3693,1103,1268,1208,256,1411,1074,0.76,929,1882,1565,676,951,997,1167,417,0.36
YNL040W,P53960,YNL040W,Putative alanyl-tRNA editing protein alaX,4007,695,0.17,4444,NA,NA,4621,2864,1319,3312,1339,0.4,7051,5782,742,103,9830,NA,4702,3737,0.79
YNL041C,P53959,COG6,Conserved oligomeric Golgi complex subunit 6,816,410,0.5,NA,2307,NA,NA,144,NA,1226,1082,0.88,62,516,243,803,NA,NA,406,280,0.69
YNL044W,P53633,YIP3,Prenylated Rab acceptor 1,5682,1237,0.22,NA,8493,2534,2295,7630,1271,4445,2996,0.67,2985,7680,973,25313,793,3773,6919,8536,1.23
YNL045W,Q10740,LAP2,Leukotriene A-4 hydrolase homolog,1271,208,0.16,2954,1715,722,547,362,80,1063,987,0.93,687,2351,94,3588,674,NA,1479,1296,0.88
YNL048W,P53954,ALG11,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",1319,264,0.2,3583,3245,505,123,1922,124,1584,1432,0.9,643,1773,559,1246,NA,NA,1055,492,0.47
YNL049C,P53953,SFB2,SED5-binding protein 2,436,118,0.27,NA,554,NA,NA,NA,NA,554,0,0,NA,NA,NA,319,NA,NA,319,0,0
YNL050C,P53952,YNL050C,Uncharacterized protein YNL050C,3352,1143,0.34,5301,8223,2687,NA,5683,584,4496,2628,0.58,3228,3107,495,2577,2289,1557,2209,944,0.43
YNL051W,P53951,COG5,Conserved oligomeric Golgi complex subunit 5,651,124,0.19,602,1661,NA,NA,NA,60,775,665,0.86,NA,522,NA,780,NA,277,526,206,0.39
YNL052W,P00424,COX5A,"Cytochrome c oxidase polypeptide 5A, mitochondrial",4970,985,0.2,2165,12411,NA,7854,5812,1534,5955,3980,0.67,3061,4215,4604,1586,5735,4709,3985,1331,0.33
YNL054W,P53950,VAC7,Vacuolar segregation protein 7,394,35,0.09,NA,1022,106,346,244,NA,430,352,0.82,252,478,157,576,NA,331,359,151,0.42
YNL055C,P04840,POR1,Mitochondrial outer membrane protein porin 1,744408,81713,0.11,897690,1964620,529986,787181,563246,214004,826121,552917,0.67,1048700,730695,821585,493782,447552,433852,662694,225853,0.34
YNL059C,P53946,ARP5,Actin-related protein 5,5385,378,0.07,8649,9923,2417,2534,5566,957,5008,3341,0.67,8329,6922,5854,4227,2082,7165,5763,2074,0.36
YNL061W,P40991,NOP2,25S rRNA (cytosine(2870)-C(5))-methyltransferase,20780,2226,0.11,34492,41542,14064,16230,28682,3029,23006,13119,0.57,24898,24244,12427,32573,8915,8264,18553,9179,0.49
YNL062C,P41814,GCD10,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,2575,625,0.24,4781,6375,2243,1816,3969,16,3200,2087,0.65,2457,5024,1014,2285,537,389,1951,1588,0.81
